"CellCharter_3"	"CellCharter_4"	"CellCharter_5"	"CellCharter_6"	"CellCharter_7"	"CellCharter_8"	"CellCharter_9"	"CellCharter_10"	"SCANIT_3"	"SCANIT_4"	"SCANIT_5"	"SCANIT_6"	"SCANIT_7"	"SCANIT_8"	"SCANIT_9"	"SCANIT_10"	"SEDR_3"	"SEDR_4"	"SEDR_5"	"SEDR_6"	"SEDR_7"	"SEDR_8"	"SEDR_9"	"SEDR_10"	"SpaceFlow_3"	"SpaceFlow_4"	"SpaceFlow_5"	"SpaceFlow_6"	"SpaceFlow_7"	"SpaceFlow_8"	"SpaceFlow_9"	"SpaceFlow_10"	"x"	"y"	"X"	"label"	"label_old"
"DX1_8H_269_112"	0	0	3	3	3	7	7	7	0	3	3	4	6	7	4	6	1	3	3	3	3	3	3	3	0	1	0	5	4	5	6	8	297	-67	"DX1_8H_269_112"	"midzonal"	"Layer 3"
"DX1_8H_151_93"	1	3	4	0	0	3	3	3	2	0	3	1	3	7	0	6	1	3	1	1	1	1	6	6	2	2	2	5	4	3	2	6	179	-86	"DX1_8H_151_93"	"midzonal"	"Layer 5"
"DX1_8H_269_236"	0	3	3	3	3	7	7	7	2	0	3	4	6	7	4	6	2	3	3	3	2	2	3	3	2	2	4	4	1	3	2	6	297	57	"DX1_8H_269_236"	"midzonal"	"Layer 3"
"DX1_8H_185_201"	2	1	1	1	4	6	4	6	1	1	4	2	0	3	7	5	1	1	1	5	1	7	1	1	1	3	3	3	6	6	0	3	213	22	"DX1_8H_185_201"	"midzonal"	"Layer 5"
"DX1_8H_208_151"	1	3	4	0	1	5	8	8	2	2	0	0	2	4	0	4	1	1	4	5	5	7	8	8	1	0	1	0	0	2	3	0	236	-28	"DX1_8H_208_151"	"midzonal"	"Layer 5"
"DX1_8H_273_228"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	301	49	"DX1_8H_273_228"	"periportal"	"Layer 9"
"DX1_8H_263_151"	0	3	0	0	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	3	3	2	2	4	4	1	3	2	6	291	-28	"DX1_8H_263_151"	"midzonal"	"Layer 3"
"DX1_8H_214_190"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	2	2	3	3	2	2	2	2	0	1	0	1	3	1	7	5	242	11	"DX1_8H_214_190"	"pericentral"	"Layer 1"
"DX1_8H_208_129"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	3	2	2	4	4	1	3	2	6	236	-50	"DX1_8H_208_129"	"pericentral"	"Layer 2"
"DX1_8H_160_116"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	0	1	3	1	1	1	1	6	6	2	2	2	2	5	2	2	1	188	-63	"DX1_8H_160_116"	"midzonal"	"Layer 4"
"DX1_8H_136_103"	1	3	4	0	0	3	3	8	1	1	2	3	5	1	3	2	1	3	3	3	3	3	3	3	0	1	0	1	2	1	5	2	164	-76	"DX1_8H_136_103"	"midzonal"	"Layer 4"
"DX1_8H_189_221"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	4	1	1	1	1	1	1	1	1	2	2	2	2	5	2	3	1	217	42	"DX1_8H_189_221"	"midzonal"	"Layer 6"
"DX1_8H_243_135"	1	3	4	0	0	5	8	8	2	0	0	5	4	2	0	0	1	3	3	3	3	3	3	3	2	2	2	4	1	3	2	6	271	-44	"DX1_8H_243_135"	"midzonal"	"Layer 3"
"DX1_8H_220_124"	1	3	4	0	0	3	8	3	2	0	0	5	4	2	0	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	248	-55	"DX1_8H_220_124"	"midzonal"	"Layer 4"
"DX1_8H_200_117"	0	3	0	5	0	3	3	3	2	0	0	1	3	2	0	0	1	3	3	3	3	3	3	6	2	1	2	2	1	3	2	5	228	-62	"DX1_8H_200_117"	"midzonal"	"Layer 3"
"DX1_8H_211_164"	2	1	1	1	4	6	4	6	1	1	4	2	0	3	7	5	3	4	5	6	6	5	5	5	1	3	3	3	6	6	0	3	239	-15	"DX1_8H_211_164"	"periportal"	"Layer 7"
"DX1_8H_280_158"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	308	-21	"DX1_8H_280_158"	"periportal"	"Layer 8"
"DX1_8H_288_188"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	6	6	2	2	2	2	5	2	3	1	316	9	"DX1_8H_288_188"	"midzonal"	"Layer 4"
"DX1_8H_276_165"	1	3	4	0	0	5	8	8	2	0	0	5	4	2	2	0	1	3	3	1	3	3	6	6	2	2	4	4	1	3	2	6	304	-14	"DX1_8H_276_165"	"midzonal"	"Layer 3"
"DX1_8H_234_149"	1	2	2	2	1	5	5	5	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	262	-30	"DX1_8H_234_149"	"midzonal"	"Layer 6"
"DX1_8H_297_201"	2	1	3	3	3	7	7	7	0	2	3	4	1	5	5	8	1	1	4	4	4	4	4	4	1	0	0	0	4	5	1	8	325	22	"DX1_8H_297_201"	"periportal"	"Layer 8"
"DX1_8H_227_106"	1	3	4	0	1	5	8	8	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	255	-73	"DX1_8H_227_106"	"midzonal"	"Layer 5"
"DX1_8H_272_210"	1	3	4	0	0	5	8	8	2	0	0	5	4	2	2	0	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	5	300	31	"DX1_8H_272_210"	"midzonal"	"Layer 4"
"DX1_8H_171_94"	2	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	199	-85	"DX1_8H_171_94"	"periportal"	"Layer 9"
"DX1_8H_239_253"	1	2	2	2	1	5	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	6	6	0	7	267	74	"DX1_8H_239_253"	"periportal"	"Layer 9"
"DX1_8H_239_104"	1	2	2	0	1	5	8	8	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	267	-75	"DX1_8H_239_104"	"midzonal"	"Layer 6"
"DX1_8H_209_220"	1	2	4	0	1	5	8	5	2	0	0	1	3	4	0	4	1	1	4	4	4	4	8	8	1	0	2	2	5	2	3	1	237	41	"DX1_8H_209_220"	"periportal"	"Layer 7"
"DX1_8H_245_187"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	3	3	3	2	2	3	3	2	2	4	4	1	3	2	6	273	8	"DX1_8H_245_187"	"pericentral"	"Layer 2"
"DX1_8H_255_152"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	3	3	3	2	2	3	3	2	2	4	4	1	3	2	6	283	-27	"DX1_8H_255_152"	"pericentral"	"Layer 2"
"DX1_8H_242_155"	0	3	3	3	0	3	3	3	2	0	0	5	4	2	2	4	1	3	3	1	3	3	6	6	2	2	2	4	1	3	2	6	270	-24	"DX1_8H_242_155"	"midzonal"	"Layer 3"
"DX1_8H_161_229"	1	2	1	4	6	4	0	4	1	1	2	3	0	1	3	2	1	1	4	5	5	7	8	8	1	3	3	3	2	7	0	3	189	50	"DX1_8H_161_229"	"midzonal"	"Layer 5"
"DX1_8H_231_86"	1	2	4	0	1	5	1	1	0	3	3	4	1	5	4	8	1	1	4	4	5	7	8	8	1	0	1	0	0	0	1	0	259	-93	"DX1_8H_231_86"	"midzonal"	"Layer 6"
"DX1_8H_199_217"	1	2	2	2	2	1	1	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	4	1	0	1	0	0	0	1	0	227	38	"DX1_8H_199_217"	"periportal"	"Layer 8"
"DX1_8H_296_196"	2	1	3	3	3	7	7	7	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	324	17	"DX1_8H_296_196"	"periportal"	"Layer 9"
"DX1_8H_200_226"	1	2	2	2	1	5	5	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	1	0	228	47	"DX1_8H_200_226"	"periportal"	"Layer 7"
"DX1_8H_176_183"	0	0	0	5	0	3	3	3	1	1	4	3	0	3	6	9	1	3	3	1	3	3	6	6	2	2	0	4	3	3	2	5	204	4	"DX1_8H_176_183"	"midzonal"	"Layer 3"
"DX1_8H_274_128"	1	3	4	0	1	5	8	5	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	8	2	0	2	2	5	2	3	1	302	-51	"DX1_8H_274_128"	"midzonal"	"Layer 5"
"DX1_8H_134_224"	2	1	3	3	3	0	7	0	1	1	4	2	0	3	8	9	1	3	1	1	1	1	6	6	0	1	0	5	4	1	5	2	162	45	"DX1_8H_134_224"	"midzonal"	"Layer 5"
"DX1_8H_134_188"	1	2	4	4	6	4	0	4	1	1	4	2	0	3	8	9	1	1	4	5	5	7	8	8	0	3	3	3	2	7	0	3	162	9	"DX1_8H_134_188"	"midzonal"	"Layer 6"
"DX1_8H_200_146"	1	3	4	0	1	5	8	8	2	0	0	1	4	2	0	0	1	3	3	1	3	3	6	6	2	2	2	2	1	3	2	1	228	-33	"DX1_8H_200_146"	"midzonal"	"Layer 3"
"DX1_8H_146_267"	2	1	1	1	4	6	4	6	1	1	4	2	1	6	7	5	1	1	4	4	5	7	8	8	1	3	3	3	6	6	0	7	174	88	"DX1_8H_146_267"	"periportal"	"Layer 9"
"DX1_8H_149_162"	0	0	0	5	5	2	2	2	1	1	2	3	5	1	6	2	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	4	177	-17	"DX1_8H_149_162"	"pericentral"	"Layer 1"
"DX1_8H_228_191"	1	2	4	0	1	5	5	8	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	1	0	256	12	"DX1_8H_228_191"	"periportal"	"Layer 8"
"DX1_8H_147_255"	1	3	4	0	0	5	8	8	1	1	2	3	5	3	6	9	1	3	3	1	3	3	6	6	0	1	0	1	3	1	7	5	175	76	"DX1_8H_147_255"	"midzonal"	"Layer 4"
"DX1_8H_122_105"	2	1	3	4	6	7	0	7	1	1	2	3	0	1	3	2	1	1	1	5	1	1	1	1	0	1	0	1	2	1	5	2	150	-74	"DX1_8H_122_105"	"midzonal"	"Layer 5"
"DX1_8H_212_113"	1	2	4	2	4	6	6	9	0	3	4	4	1	6	4	3	1	3	1	1	1	1	1	1	0	3	0	1	2	1	5	2	240	-66	"DX1_8H_212_113"	"midzonal"	"Layer 4"
"DX1_8H_119_143"	1	2	1	4	6	4	0	4	1	1	2	3	0	3	3	5	1	1	4	4	4	4	4	4	1	3	1	3	0	7	0	0	147	-36	"DX1_8H_119_143"	"periportal"	"Layer 9"
"DX1_8H_90_123"	2	1	1	4	6	4	4	4	1	1	4	2	0	3	7	5	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	118	-56	"DX1_8H_90_123"	"periportal"	"Layer 8"
"DX1_8H_170_176"	1	3	3	4	3	7	0	7	1	1	2	3	5	1	3	2	1	1	1	5	1	1	1	1	0	1	0	1	4	1	5	2	198	-3	"DX1_8H_170_176"	"midzonal"	"Layer 5"
"DX1_8H_168_130"	0	0	0	5	0	3	3	3	2	0	0	1	4	2	0	0	1	3	3	3	3	3	3	6	2	2	2	4	1	3	2	6	196	-49	"DX1_8H_168_130"	"midzonal"	"Layer 3"
"DX1_8H_143_205"	0	0	3	3	3	0	7	0	1	1	4	2	0	3	8	9	2	3	3	3	2	2	3	3	0	1	0	1	2	1	5	2	171	26	"DX1_8H_143_205"	"pericentral"	"Layer 2"
"DX1_8H_164_224"	1	3	4	4	0	5	0	8	1	1	2	3	5	1	3	2	1	3	1	1	1	1	1	1	0	3	0	1	2	1	7	5	192	45	"DX1_8H_164_224"	"midzonal"	"Layer 5"
"DX1_8H_156_267"	2	1	1	1	4	4	4	4	0	2	4	0	1	6	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	184	88	"DX1_8H_156_267"	"periportal"	"Layer 9"
"DX1_8H_249_143"	1	3	4	0	1	5	8	8	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	277	-36	"DX1_8H_249_143"	"midzonal"	"Layer 6"
"DX1_8H_236_161"	0	0	0	5	0	3	3	3	2	0	0	1	4	4	0	4	1	3	3	1	3	3	6	6	2	2	2	4	1	3	2	6	264	-18	"DX1_8H_236_161"	"midzonal"	"Layer 3"
"DX1_8H_149_198"	1	2	1	4	6	4	0	4	1	1	2	2	0	3	3	5	1	1	1	5	5	7	8	8	1	3	3	3	2	7	0	3	177	19	"DX1_8H_149_198"	"periportal"	"Layer 8"
"DX1_8H_236_150"	1	2	2	2	1	5	5	8	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	1	0	1	0	0	2	3	0	264	-29	"DX1_8H_236_150"	"periportal"	"Layer 7"
"DX1_8H_193_79"	2	1	2	2	2	1	1	1	0	2	1	0	1	0	5	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	221	-100	"DX1_8H_193_79"	"periportal"	"Layer 9"
"DX1_8H_130_87"	2	1	3	3	3	7	7	7	0	2	1	0	1	5	5	3	1	1	4	5	5	7	8	8	1	0	1	0	0	0	1	7	158	-92	"DX1_8H_130_87"	"periportal"	"Layer 9"
"DX1_8H_183_192"	2	2	1	4	6	4	0	4	1	1	4	2	0	3	7	5	1	1	4	5	5	7	8	8	1	3	3	3	6	6	0	3	211	13	"DX1_8H_183_192"	"periportal"	"Layer 7"
"DX1_8H_204_169"	1	2	2	2	1	5	5	5	0	2	4	0	1	6	7	3	1	1	4	5	5	7	8	8	1	3	3	3	6	7	0	9	232	-10	"DX1_8H_204_169"	"periportal"	"Layer 9"
"DX1_8H_150_127"	1	3	4	0	1	5	8	3	2	0	0	5	4	2	2	0	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	1	178	-52	"DX1_8H_150_127"	"midzonal"	"Layer 4"
"DX1_8H_151_231"	2	1	1	4	6	4	0	4	1	1	4	2	0	3	7	5	1	1	4	4	4	4	4	4	0	3	3	5	2	5	0	3	179	52	"DX1_8H_151_231"	"periportal"	"Layer 9"
"DX1_8H_163_189"	1	3	4	4	6	4	0	8	1	1	2	3	5	1	3	2	1	3	1	1	1	1	6	6	0	1	0	1	3	1	7	5	191	10	"DX1_8H_163_189"	"midzonal"	"Layer 4"
"DX1_8H_238_257"	1	2	4	0	1	5	5	8	0	2	1	0	1	5	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	266	78	"DX1_8H_238_257"	"periportal"	"Layer 7"
"DX1_8H_246_141"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	274	-38	"DX1_8H_246_141"	"periportal"	"Layer 7"
"DX1_8H_269_121"	2	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	297	-58	"DX1_8H_269_121"	"periportal"	"Layer 9"
"DX1_8H_195_213"	2	2	1	1	4	4	6	9	0	2	4	0	1	6	5	3	1	1	4	5	5	7	8	8	1	0	3	0	6	6	0	7	223	34	"DX1_8H_195_213"	"periportal"	"Layer 7"
"DX1_8H_175_102"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	2	2	2	2	0	2	4	4	1	4	4	4	203	-77	"DX1_8H_175_102"	"pericentral"	"Layer 2"
"DX1_8H_216_112"	1	2	2	2	2	1	5	1	0	2	1	0	1	0	5	3	1	1	4	4	5	4	8	8	1	3	3	3	2	7	0	3	244	-67	"DX1_8H_216_112"	"periportal"	"Layer 8"
"DX1_8H_187_137"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	215	-42	"DX1_8H_187_137"	"pericentral"	"Layer 1"
"DX1_8H_135_118"	1	3	4	0	1	5	8	8	1	1	2	3	0	1	3	7	1	1	1	5	5	7	1	1	2	3	2	2	2	7	7	3	163	-61	"DX1_8H_135_118"	"midzonal"	"Layer 6"
"DX1_8H_189_124"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	217	-55	"DX1_8H_189_124"	"pericentral"	"Layer 2"
"DX1_8H_163_194"	0	0	3	3	0	0	0	0	1	1	2	3	0	1	3	2	1	3	3	1	3	3	6	6	0	1	0	1	2	1	5	2	191	15	"DX1_8H_163_194"	"midzonal"	"Layer 4"
"DX1_8H_182_193"	2	2	1	4	4	4	0	9	1	1	4	2	0	3	7	5	1	1	1	5	5	7	8	8	1	3	3	3	6	6	0	3	210	14	"DX1_8H_182_193"	"midzonal"	"Layer 5"
"DX1_8H_143_138"	2	1	1	1	4	6	6	9	1	1	2	2	0	3	3	5	1	1	1	5	5	7	1	9	1	3	3	3	6	6	0	3	171	-41	"DX1_8H_143_138"	"midzonal"	"Layer 6"
"DX1_8H_140_145"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	2	2	2	3	2	2	2	2	0	1	0	1	3	1	7	5	168	-34	"DX1_8H_140_145"	"pericentral"	"Layer 2"
"DX1_8H_288_202"	1	3	4	0	1	5	8	8	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	2	0	2	2	0	2	3	0	316	23	"DX1_8H_288_202"	"midzonal"	"Layer 5"
"DX1_8H_246_177"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	0	1	3	1	1	1	1	1	1	2	2	2	2	1	3	2	1	274	-2	"DX1_8H_246_177"	"midzonal"	"Layer 5"
"DX1_8H_146_235"	2	3	3	3	3	7	7	7	1	1	4	2	0	3	7	9	1	1	1	5	5	7	1	1	0	1	0	5	4	5	6	8	174	56	"DX1_8H_146_235"	"midzonal"	"Layer 5"
"DX1_8H_168_104"	1	2	2	2	1	5	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	1	0	196	-75	"DX1_8H_168_104"	"periportal"	"Layer 7"
"DX1_8H_139_143"	0	0	0	5	5	2	2	2	1	1	2	3	5	1	6	2	2	2	2	2	7	8	2	2	0	1	0	1	3	4	4	5	167	-36	"DX1_8H_139_143"	"pericentral"	"Layer 1"
"DX1_8H_261_182"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	289	3	"DX1_8H_261_182"	"periportal"	"Layer 8"
"DX1_8H_173_245"	1	2	2	2	6	4	5	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	201	66	"DX1_8H_173_245"	"periportal"	"Layer 9"
"DX1_8H_183_242"	1	2	2	2	2	4	5	4	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	7	211	63	"DX1_8H_183_242"	"periportal"	"Layer 7"
"DX1_8H_138_174"	2	1	1	1	4	6	6	6	1	1	4	2	0	3	7	5	1	1	4	4	5	7	8	8	1	3	3	3	6	6	0	3	166	-5	"DX1_8H_138_174"	"periportal"	"Layer 8"
"DX1_8H_170_278"	1	3	3	4	3	7	0	7	0	3	3	4	1	5	5	3	1	1	4	5	5	7	8	8	1	0	1	0	0	0	1	0	198	99	"DX1_8H_170_278"	"periportal"	"Layer 7"
"DX1_8H_244_106"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	5	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	272	-73	"DX1_8H_244_106"	"periportal"	"Layer 8"
"DX1_8H_140_147"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	3	2	2	2	3	3	2	2	2	2	0	1	0	1	3	1	7	5	168	-32	"DX1_8H_140_147"	"midzonal"	"Layer 3"
"DX1_8H_222_123"	0	0	0	5	5	3	2	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	250	-56	"DX1_8H_222_123"	"pericentral"	"Layer 2"
"DX1_8H_215_166"	2	1	1	1	4	6	4	6	1	1	4	2	0	3	7	5	3	4	5	6	6	5	5	5	1	3	3	3	6	6	0	3	243	-13	"DX1_8H_215_166"	"periportal"	"Layer 7"
"DX1_8H_206_169"	1	2	4	4	1	4	5	4	0	2	1	0	1	6	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	234	-10	"DX1_8H_206_169"	"periportal"	"Layer 8"
"DX1_8H_162_179"	1	3	4	0	0	5	0	8	1	1	2	3	0	1	3	2	1	3	1	1	1	1	6	6	0	1	0	1	2	1	5	2	190	0	"DX1_8H_162_179"	"midzonal"	"Layer 4"
"DX1_8H_155_283"	2	1	1	4	6	4	0	4	0	3	3	4	1	5	8	8	1	1	4	4	4	4	4	4	0	1	0	5	4	5	5	8	183	104	"DX1_8H_155_283"	"periportal"	"Layer 8"
"DX1_8H_218_115"	1	2	4	0	1	5	5	8	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	1	0	246	-64	"DX1_8H_218_115"	"periportal"	"Layer 7"
"DX1_8H_194_200"	0	0	0	5	5	2	2	2	1	0	0	5	4	2	2	7	2	3	3	3	2	2	3	3	0	1	0	1	3	4	4	4	222	21	"DX1_8H_194_200"	"pericentral"	"Layer 2"
"DX1_8H_110_110"	2	1	1	1	6	6	4	6	1	1	4	2	0	3	7	5	1	1	4	4	4	4	4	4	1	3	3	3	2	7	0	3	138	-69	"DX1_8H_110_110"	"periportal"	"Layer 9"
"DX1_8H_110_129"	1	3	4	0	1	5	0	8	1	1	2	3	5	1	3	2	1	3	1	1	1	1	6	6	0	3	2	1	2	1	7	5	138	-50	"DX1_8H_110_129"	"midzonal"	"Layer 3"
"DX1_8H_217_127"	1	3	4	0	0	3	3	3	2	0	0	1	3	2	0	0	1	3	3	3	3	3	3	3	2	2	2	4	1	3	2	6	245	-52	"DX1_8H_217_127"	"midzonal"	"Layer 3"
"DX1_8H_297_172"	2	1	3	3	3	7	7	7	0	3	3	4	1	5	8	8	1	1	4	4	4	4	4	4	0	1	0	5	4	5	6	8	325	-7	"DX1_8H_297_172"	"periportal"	"Layer 9"
"DX1_8H_159_152"	1	2	4	0	1	5	5	8	1	1	2	3	0	6	3	7	1	1	4	4	5	7	8	8	1	3	2	2	2	7	3	3	187	-27	"DX1_8H_159_152"	"midzonal"	"Layer 6"
"DX1_8H_190_103"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	7	218	-76	"DX1_8H_190_103"	"periportal"	"Layer 9"
"DX1_8H_155_186"	0	2	4	4	1	4	3	4	1	1	4	2	0	3	8	9	1	3	1	1	1	1	6	6	0	1	0	5	4	5	6	9	183	7	"DX1_8H_155_186"	"periportal"	"Layer 8"
"DX1_8H_99_139"	1	3	3	3	0	7	3	7	1	1	4	3	0	3	6	9	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	127	-40	"DX1_8H_99_139"	"midzonal"	"Layer 3"
"DX1_8H_176_77"	1	3	4	0	1	7	8	7	0	3	3	4	1	5	8	8	1	1	1	5	1	1	1	1	0	1	0	5	4	5	5	8	204	-102	"DX1_8H_176_77"	"midzonal"	"Layer 5"
"DX1_8H_143_152"	0	0	0	5	5	2	2	2	1	1	2	3	5	1	6	2	2	2	2	2	7	8	9	10	0	1	0	1	3	1	5	2	171	-27	"DX1_8H_143_152"	"pericentral"	"Layer 1"
"DX1_8H_222_209"	1	2	4	0	1	5	5	4	1	0	0	1	3	4	0	7	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	250	30	"DX1_8H_222_209"	"midzonal"	"Layer 5"
"DX1_8H_290_154"	2	1	3	3	3	7	7	7	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	318	-25	"DX1_8H_290_154"	"periportal"	"Layer 9"
"DX1_8H_139_181"	1	2	4	4	6	4	0	4	1	1	4	2	0	3	8	9	1	1	1	5	5	7	1	1	0	1	0	1	2	1	5	2	167	2	"DX1_8H_139_181"	"midzonal"	"Layer 3"
"DX1_8H_244_110"	1	3	4	0	1	5	8	5	2	0	0	1	3	4	0	0	1	1	1	1	1	1	1	1	2	0	2	2	5	2	3	1	272	-69	"DX1_8H_244_110"	"midzonal"	"Layer 4"
"DX1_8H_94_129"	1	3	3	3	0	7	0	8	1	1	2	3	0	1	3	2	1	1	1	5	1	1	1	1	0	1	0	1	3	1	7	5	122	-50	"DX1_8H_94_129"	"midzonal"	"Layer 4"
"DX1_8H_169_266"	1	3	4	0	0	5	3	8	2	0	0	5	4	2	2	0	1	1	1	5	1	1	1	1	2	2	2	2	1	3	2	1	197	87	"DX1_8H_169_266"	"midzonal"	"Layer 4"
"DX1_8H_186_104"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	214	-75	"DX1_8H_186_104"	"periportal"	"Layer 8"
"DX1_8H_207_101"	1	3	4	0	1	5	5	5	2	0	0	1	3	6	0	4	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	235	-78	"DX1_8H_207_101"	"midzonal"	"Layer 5"
"DX1_8H_258_208"	0	0	0	5	5	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	286	29	"DX1_8H_258_208"	"midzonal"	"Layer 3"
"DX1_8H_291_155"	2	1	3	3	3	7	7	7	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	319	-24	"DX1_8H_291_155"	"periportal"	"Layer 9"
"DX1_8H_171_277"	1	3	4	4	1	3	0	3	0	3	3	4	1	5	5	3	1	1	1	5	5	7	1	1	1	0	1	0	0	0	1	0	199	98	"DX1_8H_171_277"	"midzonal"	"Layer 5"
"DX1_8H_115_102"	2	3	3	4	3	7	0	7	1	1	2	3	0	1	3	2	1	1	1	5	5	7	1	1	0	3	0	1	2	1	5	2	143	-77	"DX1_8H_115_102"	"midzonal"	"Layer 6"
"DX1_8H_167_110"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	195	-69	"DX1_8H_167_110"	"periportal"	"Layer 7"
"DX1_8H_233_263"	2	1	3	3	3	7	7	7	0	3	3	4	6	7	4	6	2	2	3	3	2	2	3	3	0	1	0	5	4	5	6	8	261	84	"DX1_8H_233_263"	"pericentral"	"Layer 1"
"DX1_8H_294_212"	2	3	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	3	1	1	1	1	1	1	0	1	0	5	4	5	6	8	322	33	"DX1_8H_294_212"	"midzonal"	"Layer 3"
"DX1_8H_157_79"	0	3	0	5	0	3	3	3	0	3	3	4	6	5	4	8	1	3	3	3	3	3	3	3	0	1	0	5	4	5	6	8	185	-100	"DX1_8H_157_79"	"midzonal"	"Layer 4"
"DX1_8H_153_261"	1	2	4	4	1	4	5	5	0	2	1	0	1	6	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	181	82	"DX1_8H_153_261"	"periportal"	"Layer 9"
"DX1_8H_148_129"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	1	1	1	1	2	0	2	2	5	2	3	1	176	-50	"DX1_8H_148_129"	"midzonal"	"Layer 5"
